color,comment_count,generalCount,goodCount,id,name,poorCount,price,type,url
"幻夜黑,魅焰红,极光蓝,冰岛白",32万+,700+,7.2万+,100008031678,荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通6GB+64GB 幻夜黑,700+,999.00,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（4GB 128GB）,全网通（6GB 128GB）",
"绮境森林,仲夏紫,亮黑色,苏音蓝",47万+,1700+,11万+,100003717483,华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB绮境森林全网通双4G手机,2200+,2699.00,"8GB+128GB,8GB+256GB",
"暗夜绿色,金色,深空灰色,银色",,,,100008348548,Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色  移动联通电信4G手机 双卡双待,,10899.00,"64GB,256GB,512GB",
"暗夜绿色,金色,深空灰色,银色",23万+,400+,4.7万+,100008348548,Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色  移动联通电信4G手机 双卡双待,1200+,10899.00,"64GB,256GB,512GB",
"碳纤黑,电光紫,冰岛极光,电光薄荷",,,,100009165078,vivo iQOO Neo 855版 8GB+128GB 电光紫 骁龙855处理器 33W超快闪充 4500mAh大电池游戏手机 全网通4G手机,,,"6GB+64GB,6GB+128GB,8GB+128GB",
"碳纤黑,电光紫,冰岛极光,电光薄荷",,,,100009165078,vivo iQOO Neo 855版 8GB+128GB 电光紫 骁龙855处理器 33W超快闪充 4500mAh大电池游戏手机 全网通4G手机,,2198.00,"6GB+64GB,6GB+128GB,8GB+128GB",
"幻夜黑,翡冷翠,苏音蓝,极光色",,,,100005769525,华为 HUAWEI nova 5z 麒麟810芯片 4800万AI四摄 3200万人像超级夜景 6GB+128GB 幻夜黑 全网通双卡双待,,,"6GB+64GB,6GB+128GB",
"碳纤黑,电光紫,冰岛极光,电光薄荷",22万+,1200+,6.1万+,100009165078,vivo iQOO Neo 855版 8GB+128GB 电光紫 骁龙855处理器 33W超快闪充 4500mAh大电池游戏手机 全网通4G手机,1300+,2198.00,"6GB+64GB,6GB+128GB,8GB+128GB",
"幻夜黑,翡冷翠,苏音蓝,极光色",,,,100005769525,华为 HUAWEI nova 5z 麒麟810芯片 4800万AI四摄 3200万人像超级夜景 6GB+128GB 幻夜黑 全网通双卡双待,,1799.00,"6GB+64GB,6GB+128GB",
"亮黑色,星河银,翡冷翠,罗兰紫,青山黛,丹霞橙",,,,100009177376,华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB丹霞橙5G全网通游戏手机,,,"8GB+128GB,8GB+256GB,8GB+512GB",
"幻夜黑,翡冷翠,苏音蓝,极光色",36万+,1100+,9万+,100005769525,华为 HUAWEI nova 5z 麒麟810芯片 4800万AI四摄 3200万人像超级夜景 6GB+128GB 幻夜黑 全网通双卡双待,1300+,1799.00,"6GB+64GB,6GB+128GB",
"亮黑色,星河银,翡冷翠,罗兰紫,青山黛,丹霞橙",,,,100009177376,华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB丹霞橙5G全网通游戏手机,,6399.00,"8GB+128GB,8GB+256GB,8GB+512GB",
"亮黑色,星河银,翡冷翠,罗兰紫,青山黛,丹霞橙",38万+,900+,9.7万+,100009177376,华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB丹霞橙5G全网通游戏手机,1700+,6399.00,"8GB+128GB,8GB+256GB,8GB+512GB",
"暗夜绿色,金色,深空灰色,银色",,,,100004770257,Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G手机 双卡双待,,,"64GB,256GB,512GB",
"暗夜绿色,金色,深空灰色,银色",,,,100004770257,Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G手机 双卡双待,,9999.00,"64GB,256GB,512GB",
"暗夜绿色,金色,深空灰色,银色",23万+,400+,5万+,100004770257,Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G手机 双卡双待,800+,9999.00,"64GB,256GB,512GB",
"梦幻蓝,曜石黑,皓月白,星云紫",,,,100004575493,Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+64GB 曜石黑 游戏智能手机 小米 红米,,,"4GB+64GB,6GB+64GB,6GB+128GB",
"梦幻蓝,曜石黑,皓月白,星云紫",,,,100004575493,Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+64GB 曜石黑 游戏智能手机 小米 红米,,1099.00,"4GB+64GB,6GB+64GB,6GB+128GB",
"梦幻蓝,曜石黑,皓月白,星云紫",62万+,1600+,14万+,100004575493,Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+64GB 曜石黑 游戏智能手机 小米 红米,2000+,1099.00,"4GB+64GB,6GB+64GB,6GB+128GB",
"亮黑色,星河银,翡冷翠,罗兰紫,青山黛,丹霞橙",,,,100009177424,华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB亮黑色5G全网通游戏手机,,,"8GB+128GB,8GB+256GB",
"亮黑色,星河银,翡冷翠,罗兰紫,青山黛,丹霞橙",,,,100009177424,华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB亮黑色5G全网通游戏手机,,4499.00,"8GB+128GB,8GB+256GB",
"亮黑色,星河银,翡冷翠,罗兰紫,青山黛,丹霞橙",38万+,1000+,9.3万+,100009177424,华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB亮黑色5G全网通游戏手机,1700+,4499.00,"8GB+128GB,8GB+256GB",
"蝶羽蓝,蝶羽黑,蝶羽白",,,,100007926790,荣耀20S 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽白,,,"全网通（6GB 128GB）,全网通（8GB 128GB）",
"蝶羽蓝,蝶羽黑,蝶羽白",,,,100007926790,荣耀20S 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽白,,1699.00,"全网通（6GB 128GB）,全网通（8GB 128GB）",
"蝶羽蓝,蝶羽黑,蝶羽白",56万+,1700+,13万+,100007926790,荣耀20S 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽白,1900+,1699.00,"全网通（6GB 128GB）,全网通（8GB 128GB）",
"天空之境,亮黑色,极光色,赤茶橘,珠光贝母",,,,100002749549,,,,"6GB+128GB,8GB+128GB,8GB+256GB",
"天空之境,亮黑色,极光色,赤茶橘,珠光贝母",,,,100002749549,,,3988.00,"6GB+128GB,8GB+128GB,8GB+256GB",
"冰翡翠,电光灰,贝母白,暮光橙",,,,100007958768,Redmi Note8Pro 6400万全场景四摄 液冷游戏芯 4500mAh长续航 NFC 18W快充 红外遥控 6GB+64GB 贝母白 游戏智能手机 小米 红米,,,"6GB+64GB,6GB+128GB,8GB+128GB,8GB+256GB",
"天空之境,亮黑色,极光色,赤茶橘,珠光贝母",71万+,2000+,17万+,100002749549,,2800+,3988.00,"6GB+128GB,8GB+128GB,8GB+256GB",
"冰翡翠,电光灰,贝母白,暮光橙",,,,100007958768,Redmi Note8Pro 6400万全场景四摄 液冷游戏芯 4500mAh长续航 NFC 18W快充 红外遥控 6GB+64GB 贝母白 游戏智能手机 小米 红米,,1299.00,"6GB+64GB,6GB+128GB,8GB+128GB,8GB+256GB",
"蓝色,黑色,白色,黄色,珊瑚色,红色",,,,100000177760,,,,"64GB,128GB,256GB",
"冰翡翠,电光灰,贝母白,暮光橙",59万+,2300+,14万+,100007958768,Redmi Note8Pro 6400万全场景四摄 液冷游戏芯 4500mAh长续航 NFC 18W快充 红外遥控 6GB+64GB 贝母白 游戏智能手机 小米 红米,2500+,1299.00,"6GB+64GB,6GB+128GB,8GB+128GB,8GB+256GB",
"蓝色,黑色,白色,黄色,珊瑚色,红色",,,,100000177760,,,4899.00,"64GB,128GB,256GB",
"蓝色,黑色,白色,黄色,珊瑚色,红色",225万+,9700+,107万+,100000177760,,2万+,4899.00,"64GB,128GB,256GB",
"魅海蓝,幻夜黑,魅焰红,冰岛白",,,,100006947212,荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝,,,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（6GB 128GB）,全网通（8GB 128GB）",
"魅海蓝,幻夜黑,魅焰红,冰岛白",,,,100006947212,荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝,,1299.00,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（6GB 128GB）,全网通（8GB 128GB）",
"蓝水翡翠,幻夜星河,MOSCHINO联名版,冰岛幻境",,,,100003395441,荣耀20 PRO 4800万全焦段AI四摄 双光学防抖 麒麟980 全网通4G 8GB+128GB 幻夜星河 拍照手机,,,"全网通（8GB 128GB）,全网通（8GB 256GB）,MOSCHINO联名版（8GB 256GB）",
"魅海蓝,幻夜黑,魅焰红,冰岛白",135万+,3800+,34万+,100006947212,荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝,4300+,1299.00,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（6GB 128GB）,全网通（8GB 128GB）",
"蓝水翡翠,幻夜星河,MOSCHINO联名版,冰岛幻境",,,,100003395441,荣耀20 PRO 4800万全焦段AI四摄 双光学防抖 麒麟980 全网通4G 8GB+128GB 幻夜星河 拍照手机,,2299.00,"全网通（8GB 128GB）,全网通（8GB 256GB）,MOSCHINO联名版（8GB 256GB）",
"蓝水翡翠,幻夜星河,MOSCHINO联名版,冰岛幻境",31万+,1700+,8.9万+,100003395441,荣耀20 PRO 4800万全焦段AI四摄 双光学防抖 麒麟980 全网通4G 8GB+128GB 幻夜星河 拍照手机,2100+,2299.00,"全网通（8GB 128GB）,全网通（8GB 256GB）,MOSCHINO联名版（8GB 256GB）",
"蓝水翡翠,幻夜黑,冰岛幻境",,,,100005207363,,,,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（6GB 128GB）,全网通（8GB 128GB）",
"蓝水翡翠,幻夜黑,冰岛幻境",,,,100005207363,,,1199.00,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（6GB 128GB）,全网通（8GB 128GB）",
"蓝水翡翠,幻夜黑,冰岛幻境",29万+,700+,6.3万+,100005207363,,800+,1199.00,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（6GB 128GB）,全网通（8GB 128GB）",
"深海蓝,耀夜黑,珊瑚橙",,,,100005138103,Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 珊瑚橙 游戏智能老人手机 小米 红米,,,"3GB+32GB,4GB+64GB",
"深海蓝,耀夜黑,珊瑚橙",,,,100005138103,Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 珊瑚橙 游戏智能老人手机 小米 红米,,749.00,"3GB+32GB,4GB+64GB",
"深海蓝,耀夜黑,珊瑚橙",55万+,1300+,11万+,100005138103,Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 珊瑚橙 游戏智能老人手机 小米 红米,1500+,749.00,"3GB+32GB,4GB+64GB",
"黑色,白色,红色,黄色,紫色,绿色",,,,100008348542,Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,,,"64GB,128GB,256GB",
"金色,深空灰色,银色",,,,100000287117,Apple iPhone XS Max (A2104) 256GB 金色 移动联通电信4G手机 双卡双待,,,"64GB,256GB,512GB",
"黑色,白色,红色,黄色,紫色,绿色",158万+,5600+,31万+,100008348542,Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,1万+,,"64GB,128GB,256GB",
"黑色,白色,红色,黄色,紫色,绿色",158万+,5600+,31万+,100008348542,Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,1万+,5999.00,"64GB,128GB,256GB",
"金色,深空灰色,银色",138万+,4600+,64万+,100000287117,Apple iPhone XS Max (A2104) 256GB 金色 移动联通电信4G手机 双卡双待,9800+,,"64GB,256GB,512GB",
"金色,深空灰色,银色",138万+,4600+,64万+,100000287117,Apple iPhone XS Max (A2104) 256GB 金色 移动联通电信4G手机 双卡双待,9800+,7399.00,"64GB,256GB,512GB",
